"Year","Code","Name","Trading Value(A)","Trading Volume(B)","No. of Trades","Weighted Avg. Price(A/B)","Highest Price","Date","Lowest Price","Date",
"2023",="0050","Yuanta/P-shares Taiwan Top 50 ETF","205,384,273,223","1,674,216,275","2,252,372","122.67","132.50","2023/07/14","108.45","2023/01/03",
"2023",="0051","Yuanta/P-shares Taiwan Mid-Cap 100 ETF","748,281,985","11,509,685","33,933","65.01","74.60","2023/07/31","50.80","2023/01/03",
"2023",="0052","Fubon Taiwan Technology Tracker Fund","5,965,045,575","54,338,223","83,338","109.78","122.30","2023/07/31","91.40","2023/01/03",
"2023",="0053","Yuanta/P-shares Taiwan Electronics Tech ETF","99,110,414","1,573,288","134,288","63.00","70.90","2023/07/18","51.40","2023/01/03",
"2023",="0055","Yuanta/P-shares MSCI Taiwan Financials ETF","841,265,831","36,733,674","53,553","22.90","24.54","2023/07/31","21.21","2023/03/20",
"2023",="0056","Yuanta/P-shares Taiwan Dividend Plus ETF","174,014,765,184","5,421,920,243","3,090,710","32.09","37.25","2023/07/31","25.19","2023/01/03",
"2023",="0057","FUBON MSCI  TAIWAN ETF","155,618,096","1,753,099","120,864","88.77","97.25","2023/07/18","78.30","2023/01/03",
"2023",="0061","W.I.S.E. Yuanta/P-shares CSI 300 ETF","627,505,189","33,546,365","107,897","18.71","20.52","2023/01/30","17.50","2023/08/24",
"2023",="006203","Yuanta/ P-shares MSCI Taiwan ETF","68,846,945","1,155,692","122,110","59.57","64.90","2023/07/17","52.60","2023/01/03",
"2023",="006204","Sinopac TAIEX ETF","428,306,905","5,197,977","140,398","82.40","90.50","2023/07/31","70.70","2023/01/03",
"2023",="006205","Fubon SSE180 ETF","6,938,085,118","219,942,923","60,854","31.54","34.83","2023/01/30","29.35","2023/06/30",
"2023",="006206","Yuanta/P-shares SSE50 ETF","785,788,116","26,233,752","133,190","29.95","33.45","2023/01/30","27.51","2023/06/30",
"2023",="006207","Fuh Hwa CSI 300 A Shares Exchange Traded Fund","725,903,003","29,549,042","92,848","24.57","27.14","2023/01/30","23.05","2023/08/24",
"2023",="006208","Fubon FTSE TWSE Taiwan 50 ETF","47,391,095,720","666,231,441","1,058,767","71.13","76.60","2023/07/17","61.35","2023/01/03",
"2023",="00625K","FUBON SSE 180 ETF RMB","0","0","0","0.00","0.00","","0.00","",
"2023",="00631L","Yuanta Daily Taiwan 50 Bull 2X ETF","69,132,498,121","571,317,158","418,605","121.01","145.40","2023/07/31","90.40","2023/01/03",
"2023",="00632R","Yuanta Daily Taiwan 50 Bear -1X ETF","113,478,871,332","22,088,629,525","1,021,013","5.14","6.00","2023/01/03","4.64","2023/07/31",
"2023",="00633L","Fubon SSE 180 Leveraged 2X Index ETF","49,447,671,830","1,273,373,451","308,195","38.83","46.66","2023/01/30","33.55","2023/05/31",
"2023",="00634R","Fubon SSE 180 Inversed Index ETF","457,520,948","102,504,639","7,302","4.46","4.75","2023/06/01","4.08","2023/01/30",
"2023",="00635U","Yuanta S&P GSCI Gold ER Futures ETF","1,844,434,609","75,131,915","32,446","24.55","25.94","2023/05/04","23.09","2023/03/08",
"2023",="00636","Cathay FTSE China A50 ETF","4,968,025,887","231,224,234","148,640","21.49","23.90","2023/01/30","19.71","2023/06/30",
"2023",="00636K","Cathay FTSE China A50 ETF","7,543,116","35,200","333","214.29","7.79","2023/01/30","6.38","2023/08/22",
"2023",="00637L","Yuanta Daily CSI300 Bull 2X ETF","170,995,848,318","11,193,450,861","1,336,744","15.28","18.39","2023/01/30","13.23","2023/05/31",
"2023",="00638R","Yuanta Daily CSI 300 Bear -1X ETF","1,289,435,575","136,889,704","11,685","9.42","10.00","2023/06/01","8.56","2023/01/30",
"2023",="00639","Fubon SZSE 100 ETF","2,043,931,093","163,248,931","128,260","12.52","14.40","2023/01/30","11.24","2023/09/19",
